nome_area,totale,categoria_over80
Sardegna,2286,1
Calabria,6171,1856
Emilia-Romagna,7694,0
Piemonte,3963,0
Sicilia,5540,0
Lombardia,26054,19170
Puglia,14580,6747
Piemonte,1475,0
Lazio,14058,7249
Puglia,4870,4
Marche,2157,0
Friuli-Venezia Giulia,4041,2190
Campania,7388,4908
Abruzzo,3489,1914
Lazio,5559,3
Emilia-Romagna,13596,11775
Piemonte,11384,5663
Emilia-Romagna,9435,80
Campania,10566,0
Provincia Autonoma Trento,2397,1421
Lazio,5525,0
Liguria,12877,4114
Puglia,2129,0
Emilia-Romagna,8261,0
Toscana,8770,56
Emilia-Romagna,8495,5495
Puglia,1408,2
Toscana,10008,4594
Liguria,2840,0
Toscana,17507,8185
Umbria,2014,1213
Campania,5435,3174
Sicilia,15450,3932
Emilia-Romagna,17544,7778
Piemonte,18984,13134
Puglia,3603,0
Campania,5744,0
Valle d'Aosta / Vallée d'Aoste,332,66
Lombardia,11892,39
Emilia-Romagna,9167,7631
Veneto,4127,983
Campania,13943,3160
Veneto,6901,0
Campania,9079,5540
Calabria,2168,1707
Veneto,7314,12
Veneto,18853,9055
Lombardia,702,1
Calabria,275,0
Sardegna,9588,4653
Abruzzo,118,0
Liguria,2877,0
Marche,2125,0
Liguria,11978,3693
Abruzzo,3920,1651
Puglia,4098,5
Molise,1432,235
Lombardia,2971,9
Marche,1771,0
Valle d'Aosta / Vallée d'Aoste,437,0
Abruzzo,968,0
Lombardia,35047,15563
Calabria,4240,2195
Sardegna,2951,0
Piemonte,13878,7955
Campania,720,0
Puglia,7928,5309
Calabria,4185,1965
Abruzzo,4174,1748
Valle d'Aosta / Vallée d'Aoste,237,2
Puglia,4576,0
Basilicata,30,0
Sardegna,3744,702
Piemonte,12665,7534
Sicilia,10765,4831
Abruzzo,1804,0
Umbria,66,0
Molise,429,0
Piemonte,11852,7643
Veneto,9366,2611
Lombardia,9863,53
Sardegna,4026,0
Molise,573,568
Sicilia,9330,0
Friuli-Venezia Giulia,2068,1584
Molise,594,581
Piemonte,4787,1
Lazio,5467,126
Calabria,5322,1517
Veneto,6629,5022
Calabria,2048,0
Veneto,6022,4947
Friuli-Venezia Giulia,3935,2865
Piemonte,13907,7397
Veneto,10513,1972
Liguria,1548,0
Piemonte,8641,0
Umbria,1260,0
Molise,1245,1089
Puglia,2669,1778
Provincia Autonoma Bolzano / Bozen,508,0
Lombardia,7883,4308
Calabria,2173,0
Piemonte,5528,31
Toscana,5064,0
Lombardia,32254,22034
Emilia-Romagna,2890,0
Molise,1131,1113
Lombardia,8856,4
Sicilia,5433,8
Liguria,3166,0
Emilia-Romagna,2204,0
Toscana,15407,10199
Calabria,2058,0
Abruzzo,187,0
Umbria,301,0
Friuli-Venezia Giulia,305,0
Provincia Autonoma Trento,386,0
Provincia Autonoma Bolzano / Bozen,1502,469
Provincia Autonoma Trento,2225,953
Lazio,4279,124
Umbria,1271,0
Provincia Autonoma Trento,1398,617
Umbria,4029,2912
Lombardia,13965,3437
Provincia Autonoma Bolzano / Bozen,916,59
Veneto,31084,17269
Veneto,5741,2
Lombardia,713,0
Molise,581,340
Lazio,5768,129
Marche,2840,2799
Friuli-Venezia Giulia,3804,960
Toscana,18094,9132
Umbria,647,0
Campania,7942,1985
Calabria,8067,2764
Puglia,1668,1
Veneto,16510,9293
Provincia Autonoma Trento,698,0
Campania,5214,0
Campania,21767,3984
Liguria,2927,0
Emilia-Romagna,14798,10057
Toscana,4527,0
Toscana,3336,0
Basilicata,612,0
Puglia,16456,5930
Abruzzo,5625,3593
Emilia-Romagna,17567,6281
Lombardia,31279,12882
Campania,957,0
Sardegna,1519,6
Campania,14255,6614
Friuli-Venezia Giulia,5659,2046
Toscana,10064,1801
Campania,10661,3896
Emilia-Romagna,10043,0
Calabria,1735,502
Puglia,4537,0
Provincia Autonoma Bolzano / Bozen,1473,68
Friuli-Venezia Giulia,2092,0
Veneto,8363,7
Lombardia,39692,23409
Puglia,4910,1621
Abruzzo,5795,4398
Sardegna,3111,0
Calabria,2821,863
Provincia Autonoma Trento,33,0
Sardegna,65,0
Friuli-Venezia Giulia,3411,1815
Lazio,16605,8110
Sardegna,573,0
Basilicata,2141,1264
Sardegna,4030,2879
Abruzzo,1796,217
Liguria,125,0
Lombardia,14041,4540
Lazio,4039,0
Basilicata,1803,1686
Puglia,9331,5506
Piemonte,6421,0
Umbria,103,0
Calabria,3773,2081
Campania,7652,0
Lombardia,19783,93
Liguria,9090,3879
Campania,8087,6869
Toscana,2861,0
Toscana,7606,2
Lazio,19880,9056
Campania,21132,4491
Piemonte,18294,11667
Sardegna,2160,104
Emilia-Romagna,18604,9922
Calabria,1457,0
Provincia Autonoma Trento,802,1
Liguria,5115,1331
Provincia Autonoma Bolzano / Bozen,831,799
Molise,828,758
Lazio,19205,9583
Toscana,3949,0
Molise,319,0
Friuli-Venezia Giulia,2094,0
Basilicata,1901,1658
Valle d'Aosta / Vallée d'Aoste,316,103
Lazio,7954,134
Veneto,1078,0
Marche,892,0
Lombardia,33019,11591
Calabria,8820,2511
Lazio,18420,6205
Lazio,6649,126
Basilicata,2148,1954
Toscana,4842,9
Friuli-Venezia Giulia,567,0
Piemonte,11711,6602
Toscana,15225,11325
Basilicata,1020,0
Provincia Autonoma Trento,1352,0
Puglia,9067,6390
Sicilia,1057,0
Abruzzo,2135,1919
Emilia-Romagna,20407,5865
Puglia,6192,1
Sardegna,83,0
Provincia Autonoma Trento,2273,1638
Toscana,16535,7807
Friuli-Venezia Giulia,2356,0
Molise,270,0
Molise,268,0
Provincia Autonoma Trento,536,158
Toscana,3349,1
Emilia-Romagna,8759,4029
Liguria,2246,0
Marche,4511,3475
Calabria,1847,0
Piemonte,5940,0
Toscana,23185,15205
Sardegna,2638,12
Provincia Autonoma Trento,2429,971
Marche,7443,4256
Sardegna,1586,1421
Piemonte,6183,0
Toscana,2535,0
Friuli-Venezia Giulia,1200,2
Abruzzo,5127,1019
Sardegna,2121,1
Abruzzo,37,0
Puglia,3252,1
Provincia Autonoma Trento,190,0
Toscana,6114,472
Abruzzo,6655,3255
Basilicata,1740,590
Sicilia,207,0
Liguria,691,0
Sicilia,5905,0
Sicilia,21123,5856
Puglia,7880,5303
Provincia Autonoma Bolzano / Bozen,91,0
Marche,2105,0
Basilicata,530,406
Veneto,4744,4
Valle d'Aosta / Vallée d'Aoste,64,26
Veneto,14565,8919
Provincia Autonoma Trento,1666,0
Calabria,1916,0
Campania,10456,0
Molise,169,0
Provincia Autonoma Trento,663,563
Provincia Autonoma Bolzano / Bozen,387,0
Valle d'Aosta / Vallée d'Aoste,213,46
Molise,613,0
Abruzzo,4951,1519
Sardegna,368,0
Calabria,958,0
Piemonte,5385,0
Calabria,2543,802
Veneto,5175,19
Provincia Autonoma Bolzano / Bozen,1564,154
Puglia,12457,7877
Abruzzo,4629,1587
Molise,832,116
Lombardia,27286,194
Emilia-Romagna,8326,0
Liguria,2652,0
Umbria,1503,1249
Calabria,2147,0
Puglia,10009,6359
Sardegna,1406,0
Campania,10052,0
Umbria,843,0
Abruzzo,5262,2582
Emilia-Romagna,12035,10687
Lombardia,29495,11312
Toscana,10559,1847
Provincia Autonoma Trento,1582,58
Marche,7593,4590
Emilia-Romagna,1827,0
Molise,359,0
Sardegna,700,0
Provincia Autonoma Bolzano / Bozen,910,0
Provincia Autonoma Bolzano / Bozen,529,512
Marche,1500,0
Marche,896,0
Umbria,3985,2564
Sicilia,10169,5677
Basilicata,1045,803
Provincia Autonoma Trento,1010,552
Basilicata,1849,689
Umbria,4260,1121
Valle d'Aosta / Vallée d'Aoste,291,160
Friuli-Venezia Giulia,1962,0
Umbria,1307,1262
Valle d'Aosta / Vallée d'Aoste,337,0
Calabria,6480,3562
Provincia Autonoma Trento,867,77
Veneto,9001,3
Abruzzo,3896,3297
Basilicata,640,0
Marche,225,0
Liguria,1660,64
Liguria,648,0
Veneto,11965,3372
Puglia,3722,4
Marche,6832,3227
Calabria,1843,653
Veneto,37743,18373
Calabria,656,0
Friuli-Venezia Giulia,1272,0
